,Rede1,Rede2,Confirmação rede 1,Confirmação rede 2,Resultado
1903,Postes,Amendoeira,PC,Y,Amendoeira
1904,Folhas arredondadas,Mangueira,N,N,Árvore de outra espécie
1905,nan,Mangueira,,N,Árvore de outra espécie
1906,nan,Mangueira,,P,Árvore de outra espécie
1907,nan,Palmeira,,PM,Palmeira
1908,Postes,Mangueira,PC,P,Mangueira
1909,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
1910,nan,Mangueira,,N,Árvore de outra espécie
1911,nan,Amendoeira,,P,Árvore de outra espécie
1912,nan,Mangueira,,N,Árvore de outra espécie
1913,Outras,Amendoeira,O,P,Árvore de outra espécie
1914,nan,Poste,,PC,Nenhuma identificação realizada
1915,nan,Poste,,PC,Nenhuma identificação realizada
1916,nan,Palmeira,,Y,Palmeira
1917,Postes,Mangueira,PC,P,Mangueira
1918,nan,Palmeira,,N,Palmeira
1919,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1920,nan,nan,,,Nenhuma identificação realizada
1921,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1922,nan,Palmeira,,Y,Palmeira
1923,nan,Palmeira,,Y,Palmeira
1924,Postes,Poste,PC,PC,Nenhuma identificação realizada
1925,Postes,Poste,PC,PC,Nenhuma identificação realizada
1926,Folhas arredondadas,Mangueira,Y,P,Árvore de outra espécie
1927,nan,Palmeira,,PM,Palmeira
1928,nan,Poste,,PC,Nenhuma identificação realizada
1929,nan,nan,,,Nenhuma identificação realizada
1930,nan,Mangueira,,Y,Árvore de outra espécie
1931,nan,Mangueira,,Y,Árvore de outra espécie
1932,nan,nan,,,Nenhuma identificação realizada
1933,Postes,Amendoeira,PC,P,Amendoeira
1934,nan,Mangueira,,P,Árvore de outra espécie
1935,Postes,Mangueira,PC,Y,Mangueira
1936,Postes,Mangueira,PC,Y,Mangueira
1937,Folhas arredondadas,Palmeira,Y,PM,Nenhuma identificação realizada
1938,nan,Amendoeira,,Y,Árvore de outra espécie
1939,nan,Mangueira,,N,Árvore de outra espécie
1940,nan,nan,,,Nenhuma identificação realizada
1941,nan,Mangueira,,Y,Árvore de outra espécie
1942,Folhas arredondadas,Amendoeira,Y,Y,Amendoeira
1943,nan,Poste,,PC,Nenhuma identificação realizada
1944,nan,Amendoeira,,N,Árvore de outra espécie
1945,nan,Palmeira,,Y,Palmeira
1946,nan,Palmeira,,N,Palmeira
1947,nan,Mangueira,,P,Árvore de outra espécie
1948,nan,Mangueira,,N,Árvore de outra espécie
1949,Folhas arredondadas,Mangueira,P,P,Árvore de outra espécie
1950,nan,Amendoeira,,P,Árvore de outra espécie
1951,nan,Poste,,PC,Nenhuma identificação realizada
1952,Folhas arredondadas,Mangueira,P,Y,Árvore de outra espécie
1953,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1954,Outras,Mangueira,O,N,Árvore de outra espécie
1955,nan,Palmeira,,N,Palmeira
1956,Postes,Mangueira,PC,P,Mangueira
1957,nan,Palmeira,,N,Palmeira
1958,nan,Mangueira,,P,Árvore de outra espécie
1959,Postes,Mangueira,PC,N,Mangueira
1960,nan,Mangueira,,N,Árvore de outra espécie
1961,Folhas arredondadas,Mangueira,Y,,Árvore de outra espécie
1962,nan,Mangueira,,N,Árvore de outra espécie
1963,Folhas arredondadas,Palmeira,Y,N,Nenhuma identificação realizada
1964,nan,Poste,,PC,Nenhuma identificação realizada
1965,Postes,Amendoeira,PC,P,Amendoeira
1966,Folhas arredondadas,Amendoeira,P,N,Amendoeira
1967,Postes,Palmeira,PC,N,Nenhuma identificação realizada
1968,nan,Mangueira,,P,Árvore de outra espécie
1969,nan,Poste,,PC,Nenhuma identificação realizada
1970,nan,nan,,,Nenhuma identificação realizada
1971,nan,Mangueira,,P,Árvore de outra espécie
1972,nan,Mangueira,,P,Árvore de outra espécie
1973,nan,Poste,,PC,Nenhuma identificação realizada
1974,Postes,Poste,PC,PC,Nenhuma identificação realizada
1975,nan,Palmeira,,Y,Palmeira
1976,Folhas lineares,Palmeira,Y,N,Nenhuma identificação realizada
1977,nan,Palmeira,,P,Palmeira
1978,nan,Poste,,PC,Nenhuma identificação realizada
1979,Postes,Mangueira,PC,P,Mangueira
1980,nan,Palmeira,,N,Palmeira
1981,nan,Mangueira,,N,Árvore de outra espécie
1982,nan,Amendoeira,,P,Árvore de outra espécie
1983,Outras,Palmeira,O,N,Nenhuma identificação realizada
1984,Folhas arredondadas,Mangueira,N,P,Árvore de outra espécie
1985,nan,Amendoeira,,P,Árvore de outra espécie
1986,Folhas arredondadas,Amendoeira,P,P,Amendoeira
1987,nan,Mangueira,,P,Árvore de outra espécie
1988,Postes,Mangueira,PC,N,Mangueira
1989,nan,Mangueira,,Y,Árvore de outra espécie
1990,Postes,Palmeira,PC,PM,Nenhuma identificação realizada
1991,nan,Poste,,PC,Nenhuma identificação realizada
1992,Folhas arredondadas,Amendoeira,Y,P,Amendoeira
1993,nan,Amendoeira,,P,Árvore de outra espécie
1994,nan,Poste,,PC,Nenhuma identificação realizada
1995,nan,nan,,,Nenhuma identificação realizada
1996,nan,Mangueira,,P,Árvore de outra espécie
1997,Postes,Poste,PC,PC,Nenhuma identificação realizada
1998,Outras,Poste,O,P,Nenhuma identificação realizada
1999,Postes,Poste,PC,PC,Nenhuma identificação realizada
2000,nan,Poste,,PC,Nenhuma identificação realizada
2001,nan,nan,,,Nenhuma identificação realizada
2002,Palmeira,Palmeira,Y,Y,Palmeira
2003,nan,Amendoeira,,P,Árvore de outra espécie
2004,nan,Mangueira,,P,Árvore de outra espécie
2005,Folhas arredondadas,Mangueira,Y,Y,Árvore de outra espécie
2006,nan,Mangueira,,N,Árvore de outra espécie
2007,nan,nan,,,Nenhuma identificação realizada
2008,nan,Palmeira,,N,Palmeira
2009,nan,Amendoeira,,P,Árvore de outra espécie
2010,Postes,Amendoeira,PC,N,Amendoeira
2011,nan,Amendoeira,,N,Árvore de outra espécie
2012,Folhas arredondadas,Palmeira,N,N,Nenhuma identificação realizada
2013,nan,Poste,,PC,Nenhuma identificação realizada
2014,nan,Palmeira,,	PM,Palmeira
2015,nan,Mangueira,,P,Árvore de outra espécie
2016,nan,Palmeira,,N,Palmeira
2017,Postes,Poste,PC,PC,Nenhuma identificação realizada
2018,Outras,Palmeira,O,Y,Nenhuma identificação realizada
2019,Postes,Mangueira,PC,P,Mangueira
2020,Folhas lineares,Mangueira,Y,P,Mangueira
2021,nan,Poste,,PC,Nenhuma identificação realizada
2022,Postes,Mangueira,PC,P,Mangueira
2023,nan,Palmeira,,Y,Palmeira
2024,nan,nan,,,Nenhuma identificação realizada
2025,Postes,Amendoeira,PC,N,Amendoeira
2026,nan,Mangueira,,N,Árvore de outra espécie
2027,nan,Palmeira,,N,Palmeira
2028,nan,nan,,,Nenhuma identificação realizada
2029,nan,Mangueira,,N,Árvore de outra espécie
2030,Folhas arredondadas,Amendoeira,N,P,Amendoeira
2031,Outras,Amendoeira,O,P,Árvore de outra espécie
2032,nan,Amendoeira,,N,Árvore de outra espécie
2033,Folhas arredondadas,Palmeira,Y,N,Nenhuma identificação realizada
2034,nan,Palmeira,,PM,Palmeira
2035,nan,Poste,,PC,Nenhuma identificação realizada
2036,Palmeira,Palmeira,Y,	Y,Palmeira
2037,nan,Palmeira,,Y[3~,Palmeira
2038,nan,Poste,,PC,Nenhuma identificação realizada
2039,nan,Mangueira,,N,Árvore de outra espécie
2040,Postes,Palmeira,PC,Y,Nenhuma identificação realizada
